1,12.799999999999955
3,-93.19999999999996
4,1.3999999999999204
5,-100.0
6,6.199999999999463
7,-18.19999999999999
8,-70.69999999999999
9,-100.0
10,-83.9
11,-96.9
12,-53.59999999999995
13,-36.79999999999986
14,-73.99999999999997
15,-72.59999999999995
16,-135.19999999999987
18,-45.59999999999977
20,-107.50000000000001
21,-0.700000000000145
22,-20.199999999999903
23,-85.2
24,-100.0
25,-97.9
26,-26.399999999999977
27,-35.099999999999824
28,-28.999999999999915
29,-78.9
30,-100.0
32,-97.5
33,-92.4
34,-78.5
35,-101.2
36,-69.49999999999979
37,-62.299999999999955
38,-93.4
40,-56.499999999999964
41,-56.49999999999996
43,-61.49999999999981
45,-59.19999999999996
47,-92.4
48,-60.80000000000001
49,-50.89999999999999
50,-88.00000000000001
51,-20.800000000000082
52,-87.60000000000001
53,-100.0
56,-79.4
57,-75.79999999999988
58,-35.299999999999756
59,-99.6
60,32.69999999999996
61,-24.900000000000247
62,-67.99999999999986
64,-150.0999999999997
67,-103.1
68,-87.00000000000001
69,-45.899999999999885
70,-103.19999999999999
71,-99.9
72,-97.5
73,-100.4
74,-73.49999999999999
77,-53.999999999999865
78,-105.89999999999996
79,-132.09999999999994
80,-74.49999999999974
81,-96.10000000000001
86,-123.89999999999995
87,-52.799999999999976
88,-100.0
91,-99.3
93,-59.39999999999998
94,-7.100000000000307
95,-87.5
96,-82.0
98,-17.19999999999996
99,-7.000000000000426
100,12.899999999999949
101,-82.8
102,-45.699999999999875
103,-97.5
104,-100.0
105,-62.1
106,12.89999999999992
107,2.3000000000000824
108,-80.4
109,-23.400000000000276
110,-96.2
111,-108.2
112,-95.10000000000004
113,-8.80000000000031
114,-88.1
115,-13.20000000000006
116,43.499999999999886
117,-16.600000000000477
118,-74.7
119,-92.5
120,-23.100000000000023
121,-20.500000000000284
122,-107.70000000000006
123,-100.3
124,-4.800000000000381
126,-68.69999999999982
127,25.19999999999962
128,-98.3
130,-86.90000000000002
131,-109.90000000000006
132,-10.900000000000716
133,-101.6
134,-111.39999999999999
135,-99.8
136,-100.0
138,-44.300000000000225
139,-77.1
140,-74.89999999999996
141,-99.7
142,-99.1
146,-99.9
148,-115.50000000000003
